image_id,image_width,image_height,bounding_box_width,bounding_box_height,box_relative_width,box_relative_height,confidence,box_area,bbox_aspect_ratio,bbox_diag,log_box_area,norm_confidence
40074.0,140.0,200.0,131.0,177.0,0.9357142857142857,0.885,0.378022700548172,23187.0,0.7401129943502824,220.20445045457188,10.05134705577498,1.0
25596.0,140.0,186.0,89.0,92.0,0.6357142857142857,0.4946236559139785,0.31472986936569214,8188.0,0.967391304347826,128.00390619039717,9.01042494678118,1.0
1056.0,140.0,105.0,110.0,58.0,0.7857142857142857,0.5523809523809524,0.5556573867797852,6380.0,1.896551724137931,124.35433245367851,8.760923376338836,0.6242774597440661
44909.0,140.0,186.0,92.0,58.0,0.6571428571428571,0.3118279569892473,0.3090631663799286,5336.0,1.5862068965517242,108.75660899458019,8.58223158759546,1.0
1049.0,140.0,248.0,73.0,112.0,0.5214285714285715,0.45161290322580644,0.5889925956726074,8176.0,0.6517857142857143,133.6899397860587,9.008958312443486,1.0
1054.0,140.0,187.0,57.0,108.0,0.40714285714285714,0.5775401069518716,0.42543092370033264,6156.0,0.5277777777777778,122.11879462228572,8.72518249495877,0.5342762058619618
27006.0,140.0,105.0,81.0,81.0,0.5785714285714286,0.7714285714285715,0.34327763319015503,6561.0,1.0,114.5512985522207,8.788898309344878,0.5136916827558329
1047.0,140.0,105.0,94.0,65.0,0.6714285714285714,0.6190476190476191,0.6117346882820129,6110.0,1.4461538461538461,114.28473213863697,8.71768205216564,1.0
26836.0,140.0,186.0,99.0,61.0,0.7071428571428572,0.3279569892473118,0.3019431233406067,6039.0,1.6229508196721312,116.2841347734075,8.705993714307901,1.0
44925.0,140.0,63.0,25.0,17.0,0.17857142857142858,0.2698412698412698,0.3789942264556885,425.0,1.4705882352941178,30.23243291566195,6.052089168924417,1.0
1025.0,140.0,105.0,66.0,54.0,0.4714285714285714,0.5142857142857142,0.5521236062049866,3564.0,1.2222222222222223,85.27602242131137,8.1786387885907,0.6422294105681164
27018.0,140.0,105.0,60.0,41.0,0.42857142857142855,0.3904761904761905,0.43384477496147156,2460.0,1.4634146341463414,72.67048919609665,7.807916628926408,0.5511216332451988
1031.0,140.0,186.0,53.0,99.0,0.37857142857142856,0.532258064516129,0.6253111958503723,5247.0,0.5353535353535354,112.29425630903836,8.565411763686711,1.0
